time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-07-17 19:00:00,2018.0,7.0,17.0,19.0,0.94,5.26,4.74,218.0,1012.1,21.9,19.8,2.048061096
2018-07-17 20:00:00,2018.0,7.0,17.0,20.0,1.08,5.88,4.8,215.0,1011.7,22.0,19.7,2.73777408
2018-07-17 21:00:00,2018.0,7.0,17.0,21.0,1.11,5.56,4.66,217.0,1011.4,22.0,19.5,2.8076355540000004
2018-07-17 22:00:00,2018.0,7.0,17.0,22.0,1.12,5.88,5.16,209.0,1011.5,21.8,19.6,3.1651522560000007
2018-07-17 23:00:00,2018.0,7.0,17.0,23.0,1.25,6.25,5.11,187.0,1011.0,21.4,19.2,3.9043593750000003
2018-07-18 00:00:00,2018.0,7.0,18.0,0.0,1.21,6.25,5.09,178.0,1011.0,21.3,17.5,3.644159541
2018-07-18 04:00:00,2018.0,7.0,18.0,4.0,1.33,7.14,5.19,172.0,1009.0,21.7,19.4,4.489308999
2018-07-18 05:00:00,2018.0,7.0,18.0,5.0,1.37,6.67,5.34,180.0,1009.0,21.4,19.3,4.9010738940000005
2018-07-18 06:00:00,2018.0,7.0,18.0,6.0,1.17,6.67,5.26,183.0,1009.3,21.0,19.5,3.5210024459999993
2018-07-18 07:00:00,2018.0,7.0,18.0,7.0,1.17,7.14,5.4,178.0,1008.9,21.2,19.5,3.61471734
2018-07-18 08:00:00,2018.0,7.0,18.0,8.0,1.18,7.14,5.73,167.0,1008.6,20.7,19.4,3.9014630279999998
2018-07-18 09:00:00,2018.0,7.0,18.0,9.0,1.32,7.69,6.08,163.0,1008.9,20.6,19.0,5.180364288000001
2018-07-18 10:00:00,2018.0,7.0,18.0,10.0,1.29,7.69,6.06,151.0,1008.7,20.8,18.0,4.931294094
2018-07-18 11:00:00,2018.0,7.0,18.0,11.0,1.44,7.14,6.52,183.0,1008.7,20.0,15.2,6.611217407999999
2018-07-18 13:00:00,2018.0,7.0,18.0,13.0,1.54,7.69,6.53,178.0,1008.6,18.8,13.1,7.572921972
2018-07-18 14:00:00,2018.0,7.0,18.0,14.0,1.51,7.14,6.17,188.0,1008.8,15.9,13.1,6.879358113
2018-07-18 15:00:00,2018.0,7.0,18.0,15.0,1.32,7.69,5.94,166.0,1008.9,17.3,14.5,5.061079584000001
2018-07-18 16:00:00,2018.0,7.0,18.0,16.0,1.44,7.69,6.25,182.0,1008.9,15.8,18.0,6.33744
2018-07-18 17:00:00,2018.0,7.0,18.0,17.0,1.8,7.69,6.48,188.0,1009.0,17.7,18.8,10.266652800000001
2018-07-18 18:00:00,2018.0,7.0,18.0,18.0,1.61,7.69,6.21,180.0,1009.3,18.8,19.2,7.871404149000001
2018-07-18 19:00:00,2018.0,7.0,18.0,19.0,1.91,9.09,6.92,185.0,1009.6,18.6,19.4,12.344732628
2018-07-18 20:00:00,2018.0,7.0,18.0,20.0,1.92,9.09,7.04,195.0,1009.8,17.6,19.6,12.690653183999999
2018-07-18 21:00:00,2018.0,7.0,18.0,21.0,1.84,9.09,7.01,200.0,1009.7,16.6,19.4,11.605464384000001
2018-07-18 22:00:00,2018.0,7.0,18.0,22.0,1.75,8.33,6.89,183.0,1010.4,16.4,19.1,10.318205625
2018-07-18 23:00:00,2018.0,7.0,18.0,23.0,1.8,9.09,7.08,187.0,1011.1,14.7,17.8,11.2172688
2018-07-19 00:00:00,2018.0,7.0,19.0,0.0,1.53,9.09,6.91,185.0,1011.7,14.1,13.9,7.909877690999999
2018-07-19 01:00:00,2018.0,7.0,19.0,1.0,1.35,8.33,6.65,182.0,1012.3,14.1,12.9,5.926496625000001
2018-07-19 02:00:00,2018.0,7.0,19.0,2.0,1.25,8.33,6.41,192.0,1012.4,14.8,13.0,4.897640625
2018-07-19 03:00:00,2018.0,7.0,19.0,3.0,1.13,7.69,6.06,171.0,1012.8,15.2,14.9,3.7838888459999986
2018-07-19 04:00:00,2018.0,7.0,19.0,4.0,1.17,8.33,6.41,183.0,1013.1,15.4,18.5,4.290803361
